test_id,vehicle_id,test_date,test_class_id,test_type,test_result,test_mileage,postcode_area,make,model,colour,fuel_type,cylinder_capacity,first_use_date,completed_date
901958055,123314818,2024-12-11,4,RT,P,116315.0,WS,MINI,MINI,BLUE,PE,1598,2010-03-01,2024-12-11T16:31:16.000Z
722808229,123314818,2024-12-11,4,NT,F,116314.0,WS,MINI,MINI,BLUE,PE,1598,2010-03-01,2024-12-11T14:47:17.000Z
1367196597,729662588,2024-12-17,4,RT,P,89707.0,CV,RENAULT,CLIO,BLACK,PE,1149,2006-09-13,2024-12-17T15:00:35.000Z
323372271,729662588,2024-12-13,4,NT,F,89705.0,CV,RENAULT,CLIO,BLACK,PE,1149,2006-09-13,2024-12-13T11:21:05.000Z
1301133487,1303743586,2024-12-03,4,NT,P,116486.0,AB,BMW,3 SERIES,GREY,PE,1995,2006-03-29,2024-12-03T09:44:27.000Z
1301133487,1303743586,2024-12-03,4,NT,P,116486.0,AB,BMW,3 SERIES,GREY,PE,1995,2006-03-29,2024-12-03T09:44:27.000Z
1551252835,711243766,2024-12-06,4,NT,P,141632.0,ME,MINI,COUNTRYMAN,BLACK,DI,1995,2011-09-09,2024-12-06T10:46:06.000Z
1786141037,1426515584,2024-12-11,4,NT,F,108351.0,EH,VAUXHALL,CORSA,BLACK,PE,1229,2007-04-30,2024-12-11T11:22:40.000Z
707921075,1103342412,2024-12-17,4,NT,P,107844.0,KT,VOLKSWAGEN,PASSAT,GREY,DI,1896,2005-08-31,2024-12-17T10:06:38.000Z
1169041505,141047762,2024-12-20,4,NT,P,147547.0,SA,LAND ROVER,RANGE ROVER,SILVER,DI,2926,2004-03-25,2024-12-20T15:02:27.000Z
1169041505,141047762,2024-12-20,4,NT,P,147547.0,SA,LAND ROVER,RANGE ROVER,SILVER,DI,2926,2004-03-25,2024-12-20T15:02:27.000Z
959053241,267730192,2024-12-30,4,NT,P,48590.0,SE,TOYOTA,AYGO,SILVER,PE,998,2008-10-31,2024-12-30T13:13:59.000Z
1556772683,594041824,2024-12-16,4,NT,P,109789.0,CO,RENAULT,CLIO,RED,PE,1149,2009-11-10,2024-12-16T11:50:14.000Z
1556772683,594041824,2024-12-16,4,NT,P,109789.0,CO,RENAULT,CLIO,RED,PE,1149,2009-11-10,2024-12-16T11:50:14.000Z
997727535,880729300,2024-12-05,4,NT,P,33980.0,SP,HYUNDAI,I10,GREY,PE,1248,2011-11-24,2024-12-05T14:04:37.000Z
395480471,1233612246,2024-12-13,4,NT,F,48762.0,AL,HYUNDAI,I10,BLUE,PE,1248,2011-10-27,2024-12-13T11:45:32.000Z
214028955,1233612246,2024-12-13,4,RT,P,48762.0,AL,HYUNDAI,I10,BLUE,PE,1248,2011-10-27,2024-12-13T17:50:16.000Z
1467452515,174984394,2024-12-30,4,NT,F,89249.0,PE,PEUGEOT,307,SILVER,DI,1560,2006-12-29,2024-12-30T11:20:03.000Z
1545564733,642755516,2024-12-07,4,NT,P,109712.0,CF,SUZUKI,JIMNY,PURPLE,PE,1328,2009-02-19,2024-12-07T13:52:21.000Z
