rfr_id|test_class_id|test_item_id|minor_item|rfr_deficiency_category|rfr_desc|rfr_loc_marker|rfr_insp_manual_desc|rfr_advisory_text|test_item_set_section_id
8820|5|5734|N|Pre-EU Directive|emissions carbon monoxide content excessive|N|the exhaust gas contains a carbon monoxide content exceeding the limit  for a continuous period of 5 seconds||5730
8820|7|5734|N|Pre-EU Directive|emissions carbon monoxide content excessive|N|the exhaust gas contains a carbon monoxide content exceeding the limit  for a continuous period of 5 seconds||5730
8821|4|5734|N|Pre-EU Directive|emissions hydrocarbon content excessive|N|excessive hydrocarbon content exceeding the limit for a continuous period of 5 seconds||5730
8821|5|5734|N|Pre-EU Directive|emissions hydrocarbon content excessive|N|excessive hydrocarbon content exceeding the limit for a continuous period of 5 seconds||5730
8821|7|5734|N|Pre-EU Directive|emissions hydrocarbon content excessive|N|excessive hydrocarbon content exceeding the limit for a continuous period of 5 seconds||5730
8822|4|5734|N|Pre-EU Directive|engine idle speed too high|N|the engine is idling at a speed clearly above its normal idling speed||5730
8822|5|5734|N|Pre-EU Directive|engine idle speed too high|N|the engine is idling at a speed clearly above its normal idling speed||5730
8822|7|5734|N|Pre-EU Directive|engine idle speed too high|N|the engine is idling at a speed clearly above its normal idling speed||5730
8823|4|5734|N|Pre-EU Directive|emits dense blue smoke at idle|N|emits dense blue or clearly visible black smoke for a continuous period of 5 seconds at idle||5730
8823|5|5734|N|Pre-EU Directive|emits dense blue smoke at idle|N|emits dense blue or clearly visible black smoke for a continuous period of 5 seconds at idle||5730
8823|7|5734|N|Pre-EU Directive|emits dense blue smoke at idle|N|emits dense blue or clearly visible black smoke for a continuous period of 5 seconds at idle||5730
8824|4|5734|N|Pre-EU Directive|emits visible black smoke at idle|N|emits dense blue or clearly visible black smoke for a continuous period of 5 seconds at idle||5730
8824|5|5734|N|Pre-EU Directive|emits visible black smoke at idle|N|emits dense blue or clearly visible black smoke for a continuous period of 5 seconds at idle||5730
8824|7|5734|N|Pre-EU Directive|emits visible black smoke at idle|N|emits dense blue or clearly visible black smoke for a continuous period of 5 seconds at idle||5730
8825|4|5734|N|Pre-EU Directive|emits clearly visible black smoke during acceleration|N|emits excessive dense blue or clearly visible black smoke during acceleration which would obscure the view of other road users|emits black smoke during acceleration|5730
8825|5|5734|N|Pre-EU Directive|emits clearly visible black smoke during acceleration|N|emits excessive dense blue or clearly visible black smoke during acceleration which would obscure the view of other road users|emits black smoke during acceleration|5730
8825|7|5734|N|Pre-EU Directive|emits clearly visible black smoke during acceleration|N|emits excessive dense blue or clearly visible black smoke during acceleration which would obscure the view of other road users|emits black smoke during acceleration|5730
