rfr_id|test_class_id|test_item_id|minor_item|rfr_deficiency_category|rfr_desc|rfr_loc_marker|rfr_insp_manual_desc|rfr_advisory_text|test_item_set_section_id
8907|3|5073|N|Pre-EU Directive|too far to the left|Y|Amalgamation of failures for all headlamp testers||5000
8907|4|5073|N|Pre-EU Directive|too far to the left|Y|Amalgamation of failures for all headlamp testers||5000
8907|5|5073|N|Pre-EU Directive|too far to the left|Y|Amalgamation of failures for all headlamp testers||5000
8907|7|5073|N|Pre-EU Directive|too far to the left|Y|Amalgamation of failures for all headlamp testers||5000
8908|3|5073|N|Pre-EU Directive|beam image kick up to the offside|Y|Amalgamation of failures for all headlamp testers||5000
8908|4|5073|N|Pre-EU Directive|beam image kick up to the offside|Y|Amalgamation of failures for all headlamp testers||5000
8908|5|5073|N|Pre-EU Directive|beam image kick up to the offside|Y|Amalgamation of failures for all headlamp testers||5000
8908|7|5073|N|Pre-EU Directive|beam image kick up to the offside|Y|Amalgamation of failures for all headlamp testers||5000
8909|3|5073|N|Pre-EU Directive|aimed so that it dazzles other road users|Y|A headlamp which does not conform to diagrams 1, 2 or 3 that has a beam image which is aimed so that it dazzles other road users.||5000
8909|4|5073|N|Pre-EU Directive|aimed so that it dazzles other road users|Y|A headlamp which does not conform to diagrams 1, 2 or 3 that has a beam image which is aimed so that it dazzles other road users.||5000
8909|5|5073|N|Pre-EU Directive|aimed so that it dazzles other road users|Y|A headlamp which does not conform to diagrams 1, 2 or 3 that has a beam image which is aimed so that it dazzles other road users.||5000
8909|7|5073|N|Pre-EU Directive|aimed so that it dazzles other road users|Y|A headlamp which does not conform to diagrams 1, 2 or 3 that has a beam image which is aimed so that it dazzles other road users.||5000
8910|3|5073|N|Pre-EU Directive|headlamp not in good working order adversely affecting beam image|Y|Amalgamation of failures for all headlamp testers|headlamp not in good working order but not adversely affecting beam image|5000
8910|4|5073|N|Pre-EU Directive|headlamp not in good working order adversely affecting beam image|Y|Amalgamation of failures for all headlamp testers|headlamp not in good working order but not adversely affecting beam image|5000
8910|7|5073|N|Pre-EU Directive|headlamp not in good working order adversely affecting beam image|Y|Amalgamation of failures for all headlamp testers|headlamp not in good working order but not adversely affecting beam image|5000
8911|3|5073|N|Pre-EU Directive|headlamp not in good working order light output severely reduced|Y|Amalgamation of failures for all headlamp testers|headlamp not in good working order but light output not severely reduced|5000
8911|4|5073|N|Pre-EU Directive|headlamp not in good working order light output severely reduced|Y|Amalgamation of failures for all headlamp testers|headlamp not in good working order but light output not severely reduced|5000
8911|7|5073|N|Pre-EU Directive|headlamp not in good working order light output severely reduced|Y|Amalgamation of failures for all headlamp testers|headlamp not in good working order but light output not severely reduced|5000
8912|3|5073|N|Pre-EU Directive|not in a clean condition affecting light output|Y|an obligatory main or dipped beam headlamp not in good working order and in clean condition, i.e. damaged or deteriorated to such an extent that the light output is well below that required to illuminate the road ahead|not in a clean condition but not affecting light output|5000
8912|4|5073|N|Pre-EU Directive|not in a clean condition affecting light output|Y|an obligatory main or dipped beam headlamp not in good working order and in clean condition, i.e. damaged or deteriorated to such an extent that the light output is well below that required to illuminate the road ahead|not in a clean condition but not affecting light output|5000
8912|7|5073|N|Pre-EU Directive|not in a clean condition affecting light output|Y|an obligatory main or dipped beam headlamp not in good working order and in clean condition, i.e. damaged or deteriorated to such an extent that the light output is well below that required to illuminate the road ahead|not in a clean condition but not affecting light output|5000
8950|3|5026|N|Pre-EU Directive|not working on dipped beam|Y|an obligatory headlamp inoperative, excessively damaged or deteriorated or has a product on the lens or light source so that the light output is well below that required to illuminate the road ahead||5000
8950|4|5026|N|Pre-EU Directive|not working on dipped beam|Y|an obligatory headlamp inoperative, excessively damaged or deteriorated or has a product on the lens or light source so that the light output is well below that required to illuminate the road ahead||5000
8950|5|5026|N|Pre-EU Directive|not working on dipped beam|Y|an obligatory headlamp inoperative, excessively damaged or deteriorated or has a product on the lens or light source so that the light output is well below that required to illuminate the road ahead||5000
8950|7|5026|N|Pre-EU Directive|not working on dipped beam|Y|an obligatory headlamp inoperative, excessively damaged or deteriorated or has a product on the lens or light source so that the light output is well below that required to illuminate the road ahead||5000
8951|3|5026|N|Pre-EU Directive|not working on main beam|Y|an obligatory headlamp inoperative, excessively damaged or deteriorated or has a product on the lens or light source so that the light output is well below that required to illuminate the road ahead||5000
8951|4|5026|N|Pre-EU Directive|not working on main beam|Y|an obligatory headlamp inoperative, excessively damaged or deteriorated or has a product on the lens or light source so that the light output is well below that required to illuminate the road ahead||5000
